id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-357525,2016-12-30,1,Vente,105640.0,5015.0,,AU PEYSARRON,B026,32140.0,32280,Mont-d'Astarac,32,,,322800000C0244,,,,,,,,,,,,,0,1.0,Maison,132.0,3.0,S,sols,,,695.0,0.569033,43.330617
2016-430120,2016-11-25,1,Vente,190000.0,23.0,,RUE DE L'ANCIENNE CARRIERE,0069,34630.0,34289,Saint-Thibéry,34,,,342890000B1833,,,,,,,,,,,,,0,1.0,Maison,115.0,5.0,S,sols,,,245.0,3.42546,43.393533
2016-1079014,2016-06-22,1,Vente,67500.0,5.0,B,PL DUGUESCLIN,1320,86000.0,86194,Poitiers,86,,,86194000BV0001,,,13,67.16,8.0,,,,,,,,2,2.0,Appartement,63.0,3.0,,,,,,0.340188,46.587147
2016-219601,2016-10-20,2,Vente,70000.0,13.0,,RUE DE LA VILLE HELLIO,2017,22190.0,22187,Plérin,22,,,22187000BR0197,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,554.0,-2.770494,48.552386
2017-1239356,2017-12-20,1,Vente,130000.0,,,PUY LA PIERRE,B068,87190.0,87206,Villefavard,87,,,872060000A0817,,,,,,,,,,,,,0,,,,,S,sols,,,600.0,1.21326,46.179835
2016-626870,2016-03-14,3,Vente,138000.0,,,LA DEADERIE,B029,51460.0,51231,L'Épine,51,,,51231000AA0169,,,,,,,,,,,,,0,,,,,L,landes,,,313.0,4.475043,48.979132
2016-139219,2016-10-06,1,Vente,269000.0,27.0,,RUE DARIUS MILHAUD,0970,13127.0,13117,Vitrolles,13,,,13117000CN0135,,,,,,,,,,,,,0,1.0,Maison,89.0,4.0,S,sols,,,229.0,5.241684,43.460138
2017-862759,2017-04-11,2,Vente,92485.16,244.0,,BD VICTOR HUGO,4680,62100.0,62193,Calais,62,,,62193000AN0535,,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,1231.0,0.0,AB,terrains a bâtir,,,1907.0,1.877186,50.940079
2016-488725,2016-07-05,2,Vente,275890.0,21.0,,RTE D'EYDOCHE,0008,38690.0,38380,Saint-Didier-de-Bizonnes,38,,,383800000D0537,,,,,,,,,,,,,0,1.0,Maison,111.0,4.0,T,terres,,,4000.0,5.348854,45.460245
2017-1394488,2017-04-27,1,Vente,2095952.0,11.0,,RUE DE MADAGASCAR,1491,97400.0,97411,Saint-Denis,974,,,97411000IO0023,,,,,,,,,,,,,0,2.0,Appartement,44.0,2.0,S,sols,,,3043.0,55.470008,-20.896046
